"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","326","Delete user without token","","Thu Apr 30 11:23:51 UTC 2026","passed","Thu Apr 30 11:23:51 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_withoutToken_shouldFail"
"","318","Get profile without token","","Thu Apr 30 11:23:59 UTC 2026","passed","Thu Apr 30 11:23:59 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_withoutToken_shouldFail"
"","1374","Get deleted profile","","Thu Apr 30 11:23:52 UTC 2026","passed","Thu Apr 30 11:23:53 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_deletedUser_shouldFail"
"","1000","Create new user with empty password","","Thu Apr 30 11:23:45 UTC 2026","passed","Thu Apr 30 11:23:46 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyPassword_shouldFail"
"","340","Get last 100 users","","Thu Apr 30 11:23:59 UTC 2026","passed","Thu Apr 30 11:23:59 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","listLastUsers"
"","335","Get profile","","Thu Apr 30 11:23:58 UTC 2026","passed","Thu Apr 30 11:23:59 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_withoutToken_shouldFail"
"","717","Login user with empty login","","Thu Apr 30 11:23:49 UTC 2026","passed","Thu Apr 30 11:23:50 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyLogin_shouldFail"
"","3691","Login user with error password","","Thu Apr 30 11:23:41 UTC 2026","passed","Thu Apr 30 11:23:45 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_errorPassword_shouldFail"
"","767","Login user with empty password","","Thu Apr 30 11:23:46 UTC 2026","passed","Thu Apr 30 11:23:47 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyPassword_shouldFail"
"","331","Get profile with invalid token","","Thu Apr 30 11:23:53 UTC 2026","passed","Thu Apr 30 11:23:54 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_invalidToken_shouldFail"
"","351","Create new user with null login","","Thu Apr 30 11:23:49 UTC 2026","passed","Thu Apr 30 11:23:49 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_nullLogin_shouldFail"
"","718","Create new duplicate user","","Thu Apr 30 11:23:50 UTC 2026","passed","Thu Apr 30 11:23:51 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_duplicateUser_shouldFail"
"","1400","Delete user twice","","Thu Apr 30 11:23:54 UTC 2026","passed","Thu Apr 30 11:23:55 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_twice_shouldFail"
"","1089","Get profile","","Thu Apr 30 11:23:55 UTC 2026","passed","Thu Apr 30 11:23:56 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getMyUser"
"","1047","Change password","","Thu Apr 30 11:23:57 UTC 2026","passed","Thu Apr 30 11:23:58 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword"
"","1047","Change password with empty password","","Thu Apr 30 11:23:56 UTC 2026","passed","Thu Apr 30 11:23:57 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_emptyPassword_shouldFail"
"","813","Create new user","","Thu Apr 30 11:23:47 UTC 2026","passed","Thu Apr 30 11:23:48 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createNewUser"
"","712","Login user","","Thu Apr 30 11:23:48 UTC 2026","passed","Thu Apr 30 11:23:49 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login"
"","1093","Delete user","","Thu Apr 30 11:23:51 UTC 2026","passed","Thu Apr 30 11:23:52 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteMyUser"
"","352","Create new user with empty login","","Thu Apr 30 11:23:46 UTC 2026","passed","Thu Apr 30 11:23:46 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyLogin_shouldFail"
