"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","806","Create new duplicate user","","Thu Apr 30 11:09:57 UTC 2026","passed","Thu Apr 30 11:09:58 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_duplicateUser_shouldFail"
"","816","Login user","","Thu Apr 30 11:09:55 UTC 2026","passed","Thu Apr 30 11:09:56 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login"
"","4024","Login user with error password","","Thu Apr 30 11:09:47 UTC 2026","passed","Thu Apr 30 11:09:51 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_errorPassword_shouldFail"
"","373","Create new user with null login","","Thu Apr 30 11:09:56 UTC 2026","passed","Thu Apr 30 11:09:56 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_nullLogin_shouldFail"
"","369","Get profile with invalid token","","Thu Apr 30 11:10:01 UTC 2026","passed","Thu Apr 30 11:10:01 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_invalidToken_shouldFail"
"","353","Get last 100 users","","Thu Apr 30 11:10:07 UTC 2026","passed","Thu Apr 30 11:10:07 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","listLastUsers"
"","1192","Delete user","","Thu Apr 30 11:09:58 UTC 2026","passed","Thu Apr 30 11:09:59 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteMyUser"
"","402","Delete user without token","","Thu Apr 30 11:09:58 UTC 2026","passed","Thu Apr 30 11:09:58 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_withoutToken_shouldFail"
"","885","Login user with empty password","","Thu Apr 30 11:09:53 UTC 2026","passed","Thu Apr 30 11:09:54 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyPassword_shouldFail"
"","405","Create new user with empty login","","Thu Apr 30 11:09:53 UTC 2026","passed","Thu Apr 30 11:09:53 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyLogin_shouldFail"
"","1590","Delete user twice","","Thu Apr 30 11:10:01 UTC 2026","passed","Thu Apr 30 11:10:03 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","deleteUser_twice_shouldFail"
"","349","Get profile","","Thu Apr 30 11:10:06 UTC 2026","passed","Thu Apr 30 11:10:07 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_withoutToken_shouldFail"
"","826","Login user with empty login","","Thu Apr 30 11:09:56 UTC 2026","passed","Thu Apr 30 11:09:57 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","login_emptyLogin_shouldFail"
"","1170","Change password","","Thu Apr 30 11:10:05 UTC 2026","passed","Thu Apr 30 11:10:06 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword"
"","876","Create new user","","Thu Apr 30 11:09:54 UTC 2026","passed","Thu Apr 30 11:09:55 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createNewUser"
"","1187","Change password with empty password","","Thu Apr 30 11:10:04 UTC 2026","passed","Thu Apr 30 11:10:05 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","changePassword_emptyPassword_shouldFail"
"","1222","Get profile","","Thu Apr 30 11:10:03 UTC 2026","passed","Thu Apr 30 11:10:04 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getMyUser"
"","370","Get profile without token","","Thu Apr 30 11:10:07 UTC 2026","passed","Thu Apr 30 11:10:07 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_withoutToken_shouldFail"
"","1016","Create new user with empty password","","Thu Apr 30 11:09:52 UTC 2026","passed","Thu Apr 30 11:09:53 UTC 2026","","tests.AuthApiTests","tests.AuthApiTests","createUser_emptyPassword_shouldFail"
"","1534","Get deleted profile","","Thu Apr 30 11:09:59 UTC 2026","passed","Thu Apr 30 11:10:01 UTC 2026","","tests.UsersApiTests","tests.UsersApiTests","getUser_deletedUser_shouldFail"
